file,ipc,l2_mpki,l2_misses,instructions,prefetch_issued,prefetch_useful,trace_folder,variant
baseline.txt,0.529026,,,25000003,,,1st_trace1,baseline
table128.txt,0.597335,,,25000004,651006.0,308775.0,1st_trace1,table128
table32.txt,0.591581,,,25000000,608787.0,297062.0,1st_trace1,table32
table64.txt,0.595721,,,25000000,636291.0,304787.0,1st_trace1,table64
baseline.txt,0.462268,,,25000002,,,1st_trace2,baseline
table128.txt,0.511809,,,25000002,743869.0,337987.0,1st_trace2,table128
table32.txt,0.591581,,,25000000,608787.0,297062.0,1st_trace2,table32
table64.txt,0.509784,,,25000002,727438.0,333398.0,1st_trace2,table64
baseline.txt,0.834309,,,25000001,,,1st_trace3,baseline
table128.txt,1.03838,,,25000004,328650.0,195764.0,1st_trace3,table128
table32.txt,1.01482,,,25000004,308608.0,188063.0,1st_trace3,table32
table64.txt,1.03066,,,25000004,322103.0,193357.0,1st_trace3,table64
baseline.txt,0.462276,,,25000005,,,1st_trace4,baseline
table128.txt,0.514095,,,25000005,738562.0,334285.0,1st_trace4,table128
table32.txt,0.509423,,,25000000,689926.0,321613.0,1st_trace4,table32
table64.txt,0.512339,,,25000005,722637.0,329976.0,1st_trace4,table64
baseline.txt,0.529026,,,25000003,,,2nd_trace1,baseline
exclusive_cache.txt,0.467969,,,25000000,,,2nd_trace1,unknown
baseline.txt,0.462268,,,25000002,,,2nd_trace2,baseline
exclusive_cache.txt,0.405598,,,25000002,,,2nd_trace2,unknown
baseline.txt,0.834309,,,25000001,,,2nd_trace3,baseline
exclusive_cache.txt,0.754818,,,25000001,,,2nd_trace3,unknown
baseline.txt,0.462276,,,25000005,,,2nd_trace4,baseline
exclusive_cache.txt,0.408924,,,25000005,,,2nd_trace4,unknown
baseline.txt,0.467969,,,25000000,,,3rd_trace1,baseline
table128.txt,0.505301,,,25000004,366582.0,229960.0,3rd_trace1,table128
table32.txt,0.504363,,,25000000,346159.0,220623.0,3rd_trace1,table32
table64.txt,0.505236,,,25000000,359643.0,226671.0,3rd_trace1,table64
baseline.txt,0.405598,,,25000002,,,3rd_trace2,baseline
table128.txt,0.436916,,,25000002,426220.0,250704.0,3rd_trace2,table128
table32.txt,0.435832,,,25000002,402706.0,239769.0,3rd_trace2,table32
table64.txt,0.436744,,,25000002,418420.0,247089.0,3rd_trace2,table64
baseline.txt,0.754818,,,25000001,,,3rd_trace3,baseline
table128.txt,0.840721,,,25000001,150147.0,144305.0,3rd_trace3,table128
table32.txt,0.840492,,,25000001,142967.0,137702.0,3rd_trace3,table32
table64.txt,0.840418,,,25000001,147795.0,142170.0,3rd_trace3,table64
baseline.txt,0.408924,,,25000005,,,3rd_trace4,baseline
table128.txt,0.43815,,,25000005,424722.0,248528.0,3rd_trace4,table128
table32.txt,0.437269,,,25000005,401800.0,237797.0,3rd_trace4,table32
table64.txt,0.437885,,,25000005,417527.0,244870.0,3rd_trace4,table64
